"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (X)","Coordenada UTM (Y)","Longitud","Latitud"
"2017S007337    ",4,"Les Corts",19,"les Corts",144601,"Diagonal                                          ","0609 0615","Dissabte","Ds","Laboral","2017",9,"Setembre","2","01","Nit","No és causa del  vianant",0,1,0,1,2,"427253,13","4582427,19","2.128816","41.389292"
"2017S006105    ",4,"Les Corts",19,"les Corts",172403,"Joan Güell                                        ","0123 0123","Dijous","Dj","Laboral","2017",7,"Juliol","13","14","Tarda","No és causa del  vianant",0,1,0,1,2,"427512,44","4581674,29","2.131956","41.381484"
"2017S005424    ",4,"Les Corts",19,"les Corts",66508,"Carles III                                        ","0082 0084","Dimecres","Dc","Laboral","2017",6,"Juny","21","08","Matí","No és causa del  vianant",0,1,0,1,2,"427144,34","4582175,36","2.127494","41.385963"
"2017S000479    ",4,"Les Corts",19,"les Corts",84907,"NUMÀNCIA / Av Diagonal                            ","0004 0004","Dimecres","Dc","Laboral","2017",1,"Gener","18","09","Matí","No és causa del  vianant",0,1,0,1,2,"427330,08","4582097,34","2.132608","41.389624"
"2017S002111    ",4,"Les Corts",19,"les Corts",84907,"AV DIAGONAL / Numància                            ","0004 0004","Dijous","Dj","Laboral","2017",3,"Març","16","10","Matí","No és causa del  vianant",0,1,0,1,2,"427330,08","4582097,34","2.132608","41.389624"
"2017S008796    ",4,"Les Corts",19,"les Corts",84907,"Joan Güell / Taquígraf Martí                      ","9999 9999","Dimarts","Dm","Laboral","2017",10,"Octubre","24","13","Matí","No és causa del  vianant",0,2,0,2,1,"427356,86","4582089,81","2.130254","41.385236"
"2017S005747    ",4,"Les Corts",19,"les Corts",187207,"Madrid / Joan Güell                               ","0169 0169","Diumenge","Dg","Laboral","2017",7,"Juliol","2","20","Tarda","No és causa del  vianant",0,1,0,1,2,"427529,57","4581610,73","2.1324","41.380835"
"2017S004714    ",4,"Les Corts",19,"les Corts",66508,"Carles III                                        ","0030 0036","Dilluns","Dl","Laboral","2017",5,"Maig","29","07","Matí","No és causa del  vianant",0,1,0,1,2,"427236,85","4581702,77","2.128657","41.381715"
"2017S000481    ",4,"Les Corts",19,"les Corts",92600,"NUMÀNCIA / Av Diagonal                            ","0029 0029","Dimecres","Dc","Laboral","2017",1,"Gener","18","09","Matí","No és causa del  vianant",0,1,0,1,1,"427197,07","4582206,65","2.132608","41.389624"
"2017S001160    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",322754,"COLLBLANC                                         ","0029 0029","Dissabte","Ds","Laboral","2017",2,"Febrer","11","12","Matí","No és causa del  vianant",0,1,0,1,1,"426315,70","4581290,08","2.117648","41.375881"
"2017S005933    ",4,"Les Corts",19,"les Corts",343903,"Corts / Joan Güell                                ","0229 0229","Divendres","Dv","Laboral","2017",7,"Juliol","7","16","Tarda","No és causa del  vianant",0,1,0,1,2,"427431,86","4582003,50","2.13086","41.384175"
"2017S008895    ",4,"Les Corts",19,"les Corts",172403,"Novell / Joan Güell                               ","0144 0148","Divendres","Dv","Laboral","2017",10,"Octubre","27","12","Matí","No és causa del  vianant",0,1,0,1,2,"427478,10","4581846,68","2.131471","41.382883"
"2017S004441    ",4,"Les Corts",19,"les Corts",172403,"Can Bruixa / Joan Güell                           ","0169 0171","Divendres","Dv","Laboral","2017",5,"Maig","19","15","Tarda","No és causa del  vianant",0,1,0,1,1,"427436,79","4581902,19","2.131105","41.383681"
"2017S005189    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",65200,"Arístides Maillol / Cardenal Reig                 ","0048 0048","Dimarts","Dm","Laboral","2017",6,"Juny","13","19","Tarda","No és causa del  vianant",0,2,0,2,2,"426431,64","4581409,10","2.119465","41.379324"
"2017S001776    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",100708,"AV MADRID                                         ","0013 0013","Dissabte","Ds","Laboral","2017",3,"Març","4","06","Matí","No és causa del  vianant",0,2,0,2,1,"426511,68","4581379,93","2.125495","41.377536"
"2017S000668    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",100708,"AV MADRID / Benavent                              ","0015 0015","Dimecres","Dc","Laboral","2017",1,"Gener","25","20","Tarda","Desobeir el senyal del semàfor",0,1,0,1,1,"426511,68","4581379,93","2.125743","41.377504"
"2017S005392    ",4,"Les Corts",19,"les Corts",219100,"Entença / Montnegre                               ","0039 0039","Dimarts","Dm","Laboral","2017",6,"Juny","20","08","Matí","No és causa del  vianant",0,1,0,1,1,"428141,72","4582413,70","2.139702","41.388186"
"2017S001042    ",4,"Les Corts",19,"les Corts",265800,"AV DIAGONAL / Av Sarrià                           ","0007 0007","Dimecres","Dc","Laboral","2017",2,"Febrer","8","08","Matí","No és causa del  vianant",0,1,0,1,3,"427965,75","4582463,24","2.138825","41.391215"
"2017S008371    ",4,"Les Corts",19,"les Corts",330708,"Taquígraf Garriga / Berguedà                      ","0106 0106","Dimarts","Dm","Laboral","2017",10,"Octubre","10","18","Tarda","No és causa del  vianant",0,1,0,1,2,"427900,95","4582440,96","2.136569","41.388521"
"2017S008119    ",4,"Les Corts",19,"les Corts",343903,"Numància / Corts                                  ","0293 0293","Dilluns","Dl","Laboral","2017",10,"Octubre","2","10","Matí","No és causa del  vianant",0,1,0,1,2,"427765,48","4582268,39","2.135191","41.386879"
"2017S007438    ",4,"Les Corts",19,"les Corts",343903,"Entença / Corts                                   ","0328 0328","Dijous","Dj","Laboral","2017",9,"Setembre","7","02","Nit","No és causa del  vianant",0,1,0,1,2,"428083,06","4582479,65","2.138895","41.389044"
"2017S004984    ",4,"Les Corts",19,"les Corts",107004,"Equador                                           ","0055 0067","Dimecres","Dc","Laboral","2017",6,"Juny","7","18","Tarda","No és causa del  vianant",0,1,0,1,3,"428109,57","4582252,38","2.139028","41.386744"
"2017S001541    ",4,"Les Corts",19,"les Corts",100107,"AV J TARRADELLAS                                  ","0125 0125","Divendres","Dv","Laboral","2017",2,"Febrer","24","12","Matí","No és causa del  vianant",0,1,0,1,2,"428079,86","4582631,01","2.143128","41.389765"
"2017S009930    ",4,"Les Corts",19,"les Corts",343903,"Corts / Berguedà                                  ","0317 0317","Dimarts","Dm","Laboral","2017",11,"Novembre","28","21","Tarda","No és causa del  vianant",0,1,0,1,2,"427933,67","4582392,32","2.137089","41.387967"
"2017S006449    ",4,"Les Corts",19,"les Corts",101904,"Diagonal / Entença                                ","0002 0002","Dilluns","Dl","Laboral","2017",7,"Juliol","24","15","Tarda","No és causa del  vianant",0,1,0,1,2,"427928,53","4582767,17","2.137125","41.390772"
"2017S009605    ",4,"Les Corts",19,"les Corts",144601,"Entença / Diagonal                                ","0632 0632","Diumenge","Dg","Laboral","2017",11,"Novembre","19","03","Nit","No és causa del  vianant",0,2,0,2,2,"427949,64","4582755,79","2.137125","41.390772"
"2017S005027    ",4,"Les Corts",19,"les Corts",343903,"Corts                                             ","0379 0379","Dijous","Dj","Laboral","2017",6,"Juny","8","17","Tarda","No és causa del  vianant",0,1,0,1,2,"428279,23","4582670,28","2.141118","41.390179"
"2017S006234    ",4,"Les Corts",19,"les Corts",225306,"Caravel·la La Niña / Nau Santa Maria              ","0010 0010","Dilluns","Dl","Laboral","2017",7,"Juliol","17","15","Tarda","No és causa del  vianant",0,1,0,1,2,"427573,86","4582749,15","2.13271","41.391369"
"2017S004389    ",4,"Les Corts",19,"les Corts",66508,"Carles III / Antoni Alberdi                       ","0142X0142X","Dimecres","Dc","Laboral","2017",5,"Maig","17","15","Tarda","No és causa del  vianant",0,0,0,0,1,"427268,36","4582743,67","2.128638","41.391245"
"2017S002199    ",4,"Les Corts",19,"les Corts",265800,"ENTENÇA / Av Diagonal                             ","0005 0005","Dissabte","Ds","Laboral","2017",3,"Març","18","21","Tarda","No és causa del  vianant",0,2,0,2,2,"427965,75","4582463,24","2.137125","41.390772"
"2017S008316    ",4,"Les Corts",19,"les Corts",144601,"Diagonal / Numància                               ","0579 0587","Dilluns","Dl","Laboral","2017",10,"Octubre","9","09","Matí","No és causa del  vianant",0,1,0,1,2,"427556,27","4582525,23","2.132608","41.389624"
"2017S009883    ",4,"Les Corts",19,"les Corts",144601,"Diagonal / Numància                               ","0579 0587","Dilluns","Dl","Laboral","2017",11,"Novembre","27","20","Tarda","No és causa del  vianant",0,1,0,1,2,"427556,27","4582525,23","2.132608","41.389624"
"2017S007523    ",4,"Les Corts",19,"les Corts",144601,"Diagonal / Numància                               ","0579 0587","Diumenge","Dg","Laboral","2017",9,"Setembre","10","16","Tarda","No és causa del  vianant",0,2,0,2,2,"427556,27","4582525,23","2.132608","41.389624"
"2017S010673    ",4,"Les Corts",19,"les Corts",162002,"Josep Tarradellas                                 ","0103 0105","Dimarts","Dm","Laboral","2017",12,"Desembre","26","12","Matí","No és causa del  vianant",0,1,0,1,2,"428415,12","4582367,95","2.142668","41.387812"
"2017S009347    ",4,"Les Corts",19,"les Corts",162002,"Sarrià / Josep Tarradellas                        ","0139S0139S","Dilluns","Dl","Laboral","2017",11,"Novembre","6","14","Tarda","No és causa del  vianant",0,1,0,1,2,"428486,42","4582640,43","2.143645","41.390505"
"2017S007656    ",4,"Les Corts",19,"les Corts",58554,"Can Bruixa                                        ","0021 0021","Dissabte","Ds","Laboral","2017",9,"Setembre","16","00","Nit","No és causa del  vianant",0,2,0,2,2,"427562,79","4581980,62","2.133036","41.384384"
"2017S001167    ",4,"Les Corts",19,"les Corts",320704,"CARAVEL·LA LA NIÑA / Nau Santa Maria              ","0157 0163","Dissabte","Ds","Laboral","2017",2,"Febrer","11","20","Tarda","No és causa del  vianant",0,1,0,1,2,"427429,20","4582878,63","2.13271","41.391369"
"2017S005834    ",4,"Les Corts",19,"les Corts",320704,"Josep Tarradellas / Sarrià                        ","0045 0049","Dimecres","Dc","Laboral","2017",7,"Juliol","5","08","Matí","No és causa del  vianant",0,1,0,1,2,"428447,43","4582661,80","2.143645","41.390505"
"2017S000086    ",4,"Les Corts",19,"les Corts",701433,"AV DIAGONAL                                       ","000270000","Dimecres","Dc","Laboral","2017",1,"Gener","4","17","Tarda","No és causa del  vianant",0,1,0,1,3,"427146,12","4582471,82","2.134273","41.39066"
"2017S002510    ",4,"Les Corts",19,"les Corts",16703,"AV DIAGONAL                                       ","0006 0006","Dimecres","Dc","Laboral","2017",3,"Març","29","10","Matí","No és causa del  vianant",0,1,0,1,2,"427543,97","4582335,33","2.132709","41.390263"
"2017S007570    ",4,"Les Corts",19,"les Corts",134200,"Sarrià / Fra Luis de Granada                      ","0002 0008","Dimarts","Dm","Laboral","2017",9,"Setembre","12","19","Tarda","No és causa del  vianant",0,1,0,1,2,"428322,30","4582729,99","2.141478","41.390826"
"2017S003206    ",4,"Les Corts",21,"Pedralbes",232403,"Pedralbes / Esplugues                             ","0002 0006","Dijous","Dj","Laboral","2017",4,"Abril","6","15","Tarda","No és causa del  vianant",0,1,0,1,2,"425990,33","4583209,14","2.11253","41.394395"
"2017S001679    ",4,"Les Corts",21,"Pedralbes",601,"BOSCH I GIMPERA / Cavallers                       ","0009B0009B","Dimecres","Dc","Laboral","2017",3,"Març","1","12","Matí","No és causa del  vianant",0,1,0,1,2,"425889,74","4582862,96","2.117674","41.395227"
"2017S001623    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",2505,"RDA DALT(LLOBREGAT                                ","0005 0005","Dilluns","Dl","Laboral","2017",2,"Febrer","27","19","Tarda","No és causa del  vianant",0,1,0,1,2,"428112,96","4583861,12","2.107156","41.388186"
"2017S001873    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",57201,"RDA DALT (BESÒS)                                  ","0001 0001","Dimarts","Dm","Laboral","2017",3,"Març","7","14","Tarda","No és causa del  vianant",0,3,0,3,6,"428084,48","4583863,75","2.108666","41.391698"
"2017S007447    ",4,"Les Corts",21,"Pedralbes",52707,"Marquès de Mulhacén / Cavallers                   ","0069 0069","Dijous","Dj","Laboral","2017",9,"Setembre","7","12","Matí","No és causa del  vianant",0,1,0,1,2,"426136,87","4583034,52","2.115608","41.3937"
"2017S002504    ",4,"Les Corts",21,"Pedralbes",67704,"ABADESSA OLZET / Cavallers                        ","0014 0014","Dimecres","Dc","Laboral","2017",3,"Març","29","08","Matí","No és causa del  vianant",0,1,0,1,2,"425286,01","4582670,03","2.113027","41.391682"
"2017S001237    ",4,"Les Corts",21,"Pedralbes",72704,"ABADESSA OLZET / Av Pearson                       ","0016 0016","Dimarts","Dm","Laboral","2017",2,"Febrer","14","17","Tarda","No és causa del  vianant",0,1,0,1,1,"425711,54","4583185,93","2.109733","41.393843"
